data_year,district,park_addr,park_area,park_name
2022,徐汇区,淮海中路、东湖路路口,4400,东湖绿地
2022,长宁区,江苏路延安西路交叉口,4300,华山新语
2022,静安区,石门一路南京西路西南角,1745,同福花园
2022,普陀区,子长路延长西路路口,2176,希望园
2022,普陀区,金沙江路丹巴路路口,925,丹巴花园
2022,虹口区,长阳路67号,3200,白马咖啡馆绿地
2022,杨浦区,宁国路内环高架旁，紧邻河间路,3929,红蓝花园
2022,闵行区,地铁1号线外环路,8900,地铁愉悦花园
2022,金山区,蒙山路沪杭公路路口,3600,临蒙花园
2023,浦东新区,川环南路华戴路东南角,4664,川舟园
2023,黄浦区,西藏南路龙华东路,2502,镜面花园
2023,静安区,南京西路青海路东南角,3510,拾影花园
2023,普陀区,真南路绿杨路西北角,3347,绿杨园
2023,虹口区,临平北路101号,1800,临平绿地
2023,虹口区,昆明路唐山路路口,2030,下海庙花园
2023,虹口区,凉城路车站南路口东北角,1447,良辰园
2023,杨浦区,军工路1310号,5000,军工路环岛绿地
2023,杨浦区,密云路松花江路路口,1700,彩花园
2023,闵行区,沪青平公路七莘路路口,1680,沪青平满棠园
2023,宝山区,逸仙小区南小门外西侧,1215,青石小游园
2023,奉贤区,百富路百通路西南角,3000,闲趣园
2023,松江区,西林北路荣乐中路东北角,3000,民乐花园
2023,金山区,新城路（大堤路-北随塘河路）两侧,3425,广宇花园
2023,崇明区,鼓浪屿路、育麟桥路口,5000,鼓浪屿路口街心公园
2023,崇明区,长兴镇东至兴冠路，西至兴甘路，南至长泉路，北至潘圆公路,6220,海港新绿
2024,黄浦区,南临交通银行、西临中山南路东接外马路,1616,藤蔓花园
2024,徐汇区,常熟路地铁站,1240,常熟花园
2024,长宁区,北翟路哈密路路口,3923,斑马绿地
2024,普陀区,真南路绿杨路西北角,3347,绿杨园
2024,普陀区,红柳路真南路西北角,3008,逐光花园
2024,闵行区,都市路以西，金阳路以南,5000,复地街心花园
2024,闵行区,沪闵路颛盛路西南角,5000,沪闵沁芳园
2024,闵行区,浦雪路江月路路口,7785,锦和园
2024,闵行区,天山西路果果幼儿园西侧,3540,年轮公园
2024,宝山区,密山路南侧，环保局东侧,4800,森园
2024,宝山区,潘广路韶山路西北角,2232,韶园
2024,奉贤区,奉贤中医院北侧,2917,早樱园
2024,金山区,金一东路金山宾馆西侧,5296,金宾花园
2024,崇明区,鼓浪屿路、育麟桥路口,5000,鼓浪屿路口街心公园
2024,崇明区,东平镇临林风公路北沿公路西北角,4748,风伟苑
2024,崇明区,横沙乡反帝圩水闸西侧,3835,红星河公园
2024,崇明区,人民路西门路西北角,7000,云享广场花园
2024,崇明区,新村乡耀洲路北横运河东北角,5000,耀洲花园
2024,浦东新区,人民东路川南奉路西北角,8401,碧水园
2024,浦东新区,西泰林路同汾泾西南角,6623,潜龙园
2021,黄浦区,重庆南路、南昌路西南角,3700,玉兰园
2021,黄浦区,董家渡会馆街38号,4716,商船会馆花园
2021,静安区,新闸路昌化路西北角,1723,昌新花园
2021,静安区,共和新路736号,4206,芷江花园
2021,长宁区,水城路219号（水城路虹古路西北角）,4561,伊水园
2021,宝山区,牡丹江路东侧、水产路北侧,24100,西家浜绿地
2021,闵行区,都市路以西，金阳路以南,5000,复地街心花园
2021,浦东新区,周家渡街道德州路41弄2号,660,梅香园
2022,黄浦区,龙华东路、西藏南路,6600,龙华东路台地花园
2022,普陀区,新会路延平路西北角,3038,新会花园
2022,虹口区,杨树浦路平凉路路口,4500,知春园
2022,闵行区,叶家桥路鹤坡路东北角,4320,同心园
2022,宝山区,密山路南侧，环保局东侧,4800,森园
2022,松江区,西林北路荣乐中路东北角,3000,民乐花园
2023,浦东新区,金京路佳乐路路口,5600,金桥镇樱花公园
2023,浦东新区,栩妙路陶桥路路口,3000,栩妙园
2023,黄浦区,董家渡会馆街38号,4716,商船会馆花园
2023,徐汇区,漕溪立交西北侧,8300,乐汇小游园
2023,静安区,南京西路永源路路口,4257,永源浜花园
2023,普陀区,富平路、万泉路东北角,4000,万泉花园
2023,普陀区,梅岭南路李村路西南角,859,李村园
2023,虹口区,新市北路1501弄,2370,新静园
2023,嘉定区,环城河绿地科学技术职业学院附近,8000,清翠园
2023,青浦区,青安路公园路东北侧,2477,青安花园
2024,浦东新区,桃林路西侧（浦东大道-乳山路）,8000,逐影园
